DATE,M1SL,M2SL
2018-02-01,3633.9,13914.6
2018-03-01,3672.5,13971.2
2018-04-01,3653.6,14001.3
2018-05-01,3646.2,14066.0
2018-06-01,3644.7,14125.8
2018-07-01,3669.2,14155.2
2018-08-01,3682.7,14197.7
2018-09-01,3692.3,14228.4
2018-10-01,3721.5,14235.8
2018-11-01,3708.4,14254.9
2018-12-01,3771.2,14373.9
2019-01-01,3772.9,14443.3
2019-02-01,3783.4,14486.2
2019-03-01,3746.4,14533.5
2019-04-01,3770.6,14568.9
2019-05-01,3775.4,14668.4
2019-06-01,3813.4,14787.0
2019-07-01,3844.8,14857.9
2019-08-01,3844.0,14935.2
2019-09-01,3887.7,15026.6
2019-10-01,3926.1,15153.1
2019-11-01,3955.6,15251.3
2019-12-01,4011.2,15325.8
2020-01-01,4019.2,15406.8
2020-02-01,4028.4,15470.4
2020-03-01,4281.3,16011.4
2020-04-01,4774.4,17039.1
2020-05-01,16262.0,17889.2
2020-06-01,16583.8,18175.7
2020-07-01,16773.8,18316.6
2020-08-01,16887.0,18378.5
2020-09-01,17156.8,18601.6
2020-10-01,17346.8,18747.9
2020-11-01,17589.1,18958.7
2020-12-01,17812.4,19129.5
2021-01-01,18100.7,19393.2
2021-02-01,18389.4,19665.5
2021-03-01,18669.4,19913.5
2021-04-01,18915.8,20122.9
2021-05-01,19193.2,20372.7
2021-06-01,19238.2,20387.4
2021-07-01,19402.0,20534.6
